feature,importance
module_normal,0.12164127690713065
module_layout,0.11655308942173992
module_color,0.10770654611258287
module_error,0.0920538472559201
colorCount,0.07890704040812009
cornerRadiusDeviation,0.054676708713201884
spacingDeviation,0.04426662601309857
colorPatternDeviation,0.04369316680116073
maxSpacingGap,0.04214558542599482
interactiveElementCount,0.04075435244208234
nodeCount,0.03359215672192861
averageSpacing,0.020527269725892038
textElementCount,0.020465365246486653
misalignedElementCount,0.017299833131805872
buttonAspectRatioDeviation,0.017104439004438504
alignmentDeviation,0.016669963415738558
hasExitControl,0.0162346765537861
buttonWidthDeviation,0.015673946348839334
buttonCount,0.01434482779218215
layoutGroupSize,0.0074482162149216375
destructiveActionCount,0.007439425026725841
controlDensity,0.007051993766179696
modalConfidence,0.006431560683057864
sameActionColorDeviation,0.006352613593841767
isModalLike,0.006149630827245065
actionColorCount,0.005924721338843832
buttonHeightDeviation,0.005914781933171978
overlayPresent,0.005328338488614043
differentActionSameColorScore,0.005263436673796572
inputCount,0.004297243673371975
hasDestructiveAction,0.004100466587459941
hasUndoOption,0.003547182773091617
textDensity,0.00323778842516148
screenWidth,0.0025257777866283166
screenHeight,0.002430947752355785
screenArea,0.0022451570134028593
hasConfirmationDialog,0.0
errorElementCount,0.0
backgroundContrastAverage,0.0
errorVisibilityScore,0.0
errorContrastRatio,0.0
confirmationControlCount,0.0
