actual,predicted,count
same_color_different_actions,weak_error_visibility,635
destructive_without_undo,irreversible_without_confirmation,451
color_inconsistency,weak_error_visibility,420
irreversible_without_confirmation,destructive_without_undo,411
button_shape_inconsistency,alignment_inconsistency,398
weak_error_visibility,same_color_different_actions,311
overloaded_screen,alignment_inconsistency,262
same_color_different_actions,color_inconsistency,261
weak_error_visibility,color_inconsistency,260
missing_exit_control,destructive_without_undo,191
color_inconsistency,same_color_different_actions,175
missing_exit_control,irreversible_without_confirmation,162
button_shape_inconsistency,spacing_inconsistency,118
alignment_inconsistency,spacing_inconsistency,94
spacing_inconsistency,alignment_inconsistency,87
destructive_without_undo,missing_exit_control,86
irreversible_without_confirmation,missing_exit_control,77
overloaded_screen,button_shape_inconsistency,25
alignment_inconsistency,button_shape_inconsistency,18
