nodeCount,screenWidth,screenHeight,screenArea,isModalLike,modalConfidence,hasExitControl,hasDestructiveAction,hasUndoOption,hasConfirmationDialog,interactiveElementCount,textElementCount,errorElementCount,buttonCount,inputCount,controlDensity,textDensity,averageSpacing,spacingDeviation,maxSpacingGap,alignmentDeviation,misalignedElementCount,cornerRadiusDeviation,buttonHeightDeviation,buttonWidthDeviation,buttonAspectRatioDeviation,colorCount,actionColorCount,sameActionColorDeviation,differentActionSameColorScore,colorPatternDeviation,errorContrastRatio,errorVisibilityScore,backgroundContrastAverage,destructiveActionCount,confirmationControlCount,layoutGroupSize,overlayPresent,module_layout,module_color,module_error,module_normal,designId,category,screenType,theme,issueLabel,severity,suggestionCategory
8.0,430.0,932.0,400760.0,1.0,0.75,1.0,1.0,1.0,0.0,5.0,2.0,0.0,4.0,0.0,0.12476295039425092,0.04990518015770037,25.714285714285715,13.295695175660489,45.0,331.0,2.0,12.0,246.0,308.0,11.62962962962963,3.0,4.0,274.14229881577927,3.0,3.0,3.65,0.0,3.65,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,color_00001,color,reset_confirmation,Dark,same_color_different_actions,medium,differentiate_action_colors
15.0,1366.0,768.0,1049088.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,8.0,0.0,4.0,4.0,0.08578879941434846,0.07625671059053196,17.25,4.548351349665063,15.0,575.0,1.0,10.0,26.0,11.0,10.186666666666667,4.0,3.0,0.0,3.0,3.0,15.02,0.0,15.02,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,color_00002,color,register,Light Blue,weak_error_visibility,medium,improve_error_state_visibility
8.0,390.0,844.0,329160.0,1.0,0.75,1.0,1.0,0.0,0.0,4.0,2.0,0.0,3.0,0.0,0.12152144853566656,0.06076072426783328,19.857142857142858,5.667666978536392,16.0,292.0,3.0,2.0,232.0,302.0,1.7113095238095237,4.0,2.0,268.1436182347065,0.0,1.0515436009204175,16.67,0.0,16.67,4.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,color_00003,color,delete_confirmation,Green,weak_error_visibility,medium,improve_error_state_visibility
18.0,1920.0,1080.0,2073600.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,9.0,0.0,2.0,4.0,0.028935185185185182,0.043402777777777776,19.823529411764707,5.9826739459252325,18.0,544.0,4.0,0.0,0.0,23.0,0.45999999999999996,4.0,2.0,0.0,1.0,1.0,16.67,0.0,16.67,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,color_00004,color,settings,Green,same_color_different_actions,medium,differentiate_action_colors
8.0,1920.0,1080.0,2073600.0,1.0,0.75,1.0,1.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,0.028935185185185182,0.009645061728395061,35.57142857142857,38.854516717979585,118.0,1125.0,1.0,12.0,256.0,285.0,12.940476190476192,3.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,color_00005,color,delete_confirmation,Light Blue,same_color_different_actions,medium,differentiate_action_colors
11.0,430.0,932.0,400760.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,2.0,2.0,0.09981036031540073,0.12476295039425092,17.9,6.549045732013177,21.0,107.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,14.0,0.0,14.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,color_00006,color,login,Orange,color_inconsistency,medium,standardize_action_color
15.0,412.0,915.0,376980.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,2.0,4.0,0.15915963711602737,0.18568624330203193,18.428571428571427,3.7361990944634345,14.0,40.0,2.0,0.0,0.0,2.0,0.040000000000000036,4.0,2.0,0.0,1.0,1.0,17.01,0.0,17.01,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,color_00007,color,contact_form,Dark,color_inconsistency,medium,standardize_action_color
15.0,1366.0,768.0,1049088.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,7.0,0.0,2.0,4.0,0.05719253294289898,0.06672462176671547,17.53846153846154,6.380443493331606,23.0,80.0,1.0,0.0,0.0,40.0,0.7999999999999998,4.0,2.0,0.0,1.0,1.0,14.709999999999999,0.0,14.709999999999999,1.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,color_00008,color,contact_form,Purple,color_inconsistency,medium,standardize_action_color
8.0,1024.0,1366.0,1398784.0,1.0,0.75,1.0,1.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,0.03574533308931186,0.014298133235724745,57.285714285714285,94.3439214268947,278.0,680.0,1.0,12.0,256.0,309.0,12.940476190476192,5.0,2.0,161.0527863776346,0.0,0.6315795544220965,10.11,0.0,10.11,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,color_00009,color,delete_confirmation,Dark,color_inconsistency,medium,standardize_action_color
8.0,390.0,844.0,329160.0,1.0,0.75,1.0,1.0,0.0,0.0,6.0,2.0,0.0,5.0,0.0,0.18228217280349984,0.06076072426783328,20.666666666666668,4.384315479321969,10.0,316.0,2.0,12.0,256.0,296.0,12.940476190476192,3.0,3.0,274.14229881577927,2.0,2.0,1.0,0.0,1.0,4.0,0.0,5.0,1.0,0.0,1.0,0.0,0.0,color_00010,color,delete_confirmation,Dark,same_color_different_actions,medium,differentiate_action_colors
